Data from roomtemp_18.6_mrosen_r2_290 nm__0__14-33-30-342.txt Node

Standard Time	Epoch Time		Value
HH:MM:SS:000	(msec 1970)
14:33:44.850	1729892024850	0.04045
14:33:44.869	1729892024869	0.0293
14:33:44.889	1729892024889	0.02707
14:33:44.908	1729892024908	0.02545
14:33:45.006	1729892025006	0.03522
14:33:45.024	1729892025024	0.02574
14:33:45.044	1729892025044	0.02615
14:33:45.064	1729892025064	0.03023
14:33:45.083	1729892025083	0.02838
14:33:45.103	1729892025103	0.02563
14:33:45.122	1729892025122	0.03073
14:33:45.141	1729892025141	0.03099
14:33:45.161	1729892025161	0.0361
14:33:45.200	1729892025200	0.03123
14:33:45.219	1729892025219	0.02046
14:33:45.239	1729892025239	0.02794
14:33:45.258	1729892025258	0.03495
14:33:45.278	1729892025278	0.02888
14:33:45.297	1729892025297	0.03271
14:33:45.317	1729892025317	0.03503
14:33:45.336	1729892025336	0.02487
14:33:45.355	1729892025355	0.0358
14:33:45.375	1729892025375	0.0338
14:33:45.433	1729892025433	0.02443
14:33:45.452	1729892025452	0.03131
14:33:45.472	1729892025472	0.03293
14:33:45.492	1729892025492	0.03038
14:33:45.511	1729892025511	0.0383
14:33:45.530	1729892025530	0.0215
14:33:45.550	1729892025550	0.03824
14:33:45.569	1729892025569	0.02678
14:33:45.589	1729892025589	0.03007
14:33:45.647	1729892025647	0.02467
14:33:45.667	1729892025667	0.03287
14:33:45.686	1729892025686	0.03152
14:33:45.686	1729892025686	0.03152
14:33:45.706	1729892025706	0.03155
14:33:45.725	1729892025725	0.03059
14:33:45.745	1729892025745	0.02368
14:33:45.745	1729892025745	0.02368
14:33:45.764	1729892025764	0.02836
14:33:45.783	1729892025783	0.02773
14:33:45.822	1729892025822	0.02922
14:33:45.822	1729892025822	0.02922
14:33:45.842	1729892025842	0.02279
14:33:45.842	1729892025842	0.02279
14:33:45.842	1729892025842	0.02279
14:33:45.842	1729892025842	0.02279
14:33:45.842	1729892025842	0.02279
14:33:45.881	1729892025881	0.02461
14:33:45.881	1729892025881	0.02461
14:33:45.939	1729892025939	0.03586
14:33:45.939	1729892025939	0.03586
14:33:45.959	1729892025959	0.03094
14:33:45.959	1729892025959	0.03094
14:33:45.978	1729892025978	0.02962
14:33:45.998	1729892025998	0.0255
14:33:46.017	1729892026017	0.02217
14:33:46.035	1729892026035	0.02506
14:33:46.056	1729892026056	0.02339
14:33:46.075	1729892026075	0.02825
14:33:46.134	1729892026134	0.03237
14:33:46.153	1729892026153	0.03298
14:33:46.172	1729892026172	0.02652
14:33:46.192	1729892026192	0.03036
14:33:46.211	1729892026211	0.02493
14:33:46.231	1729892026231	0.03269
14:33:46.250	1729892026250	0.03197
14:33:46.270	1729892026270	0.02967
14:33:46.289	1729892026289	0.02959
14:33:46.348	1729892026348	0.02922
14:33:46.366	1729892026366	0.03364
14:33:46.386	1729892026386	0.03322
14:33:46.386	1729892026386	0.03322
14:33:46.419	1729892026419	0.03073
14:33:46.445	1729892026445	0.03102
14:33:46.464	1729892026464	0.03444
14:33:46.484	1729892026484	0.03332
14:33:46.503	1729892026503	0.03714
14:33:46.523	1729892026523	0.02999
14:33:46.575	1729892026575	0.03065
14:33:46.600	1729892026600	0.02681
14:33:46.620	1729892026620	0.02417
